,,,,,
,,,,,
,TIPO CONSULTA,MES,CANAL ,CANTIDAD,PORCENTAJE
,Registros Civiles,ABRIL,REDES,"1,199",17.45 %
,Certificación Digital,ABRIL,REDES,13,0.19 %
,Archivo Registral,ABRIL,REDES,16,0.23 %
,Agencias/Horarios/Anexos,ABRIL,REDES,640,9.31 %
,Citas Especiales,ABRIL,REDES,39,0.57 %
,Incidencias/Sugerencias,ABRIL,REDES,313,4.56 %
,Estado de Trámite,ABRIL,REDES,835,12.15 %
,Otros,ABRIL,REDES,"1,504",21.89 %
,DNI Mayor,ABRIL,CHAT,97,3.55 %
,DNI Menor,ABRIL,CHAT,26,0.95 %
,DNI Electrónico,ABRIL,CHAT,69,2.53 %
,Certificaciones y Habilitaciones,ABRIL,CHAT,47,1.72 %
,Registros Civiles,ABRIL,CHAT,"1,801",65.95 %
,Proceso Electoral,ABRIL,CHAT,4,0.15 %
,Certificación Digital,ABRIL,CHAT,10,0.37 %
,Archivo Registral,ABRIL,CHAT,17,0.62 %
,Agencias/Horarios/Anexos,ABRIL,CHAT,11,0.40 %
,Citas Especiales,ABRIL,CHAT,1,0.04 %
,Incidencias/Sugerencias,ABRIL,CHAT,293,10.73 %
,Servicios en Línea,ABRIL,CHAT,1,0.04 %
,Estado de Trámite,ABRIL,CHAT,63,2.31 %
,Otros,ABRIL,CHAT,291,10.66 %
,DNI /DNIe,ABRIL,CENTRAL,542,5.04 %
,Certificaciones y Habilitaciones,ABRIL,CENTRAL,8,0.07 %
,Registros Civiles,ABRIL,CENTRAL,64,0.59 %
,Agencias/Horarios,ABRIL,CENTRAL,183,1.70 %
,Estado de Trámite,ABRIL,CENTRAL,571,5.31 %
,Otros,ABRIL,CENTRAL,71,0.66 %
,Anexos,ABRIL,CENTRAL,"9,319",86.62 %
,DNI Mayor,MAYO,ALÓ RENIEC,"1,859",16.76 %
,DNI Menor,MAYO,ALÓ RENIEC,641,5.78 %
,DNI Electrónico,MAYO,ALÓ RENIEC,"1,474",13.29 %
,Certificaciones y Habilitaciones,MAYO,ALÓ RENIEC,374,3.37 %
,Registros Civiles,MAYO,ALÓ RENIEC,"2,305",20.78 %
,Proceso Electoral,MAYO,ALÓ RENIEC,3,0.03 %
,Certificación Digital,MAYO,ALÓ RENIEC,55,0.50 %
,Archivo Registral,MAYO,ALÓ RENIEC,158,1.42 %
,Vínculo de Parentesco,MAYO,ALÓ RENIEC,1,0.01 %
,Agencias/Horarios/Anexos,MAYO,ALÓ RENIEC,577,5.20 %
,Citas Especiales,MAYO,ALÓ RENIEC,30,0.27 %
,Incidencias/Sugerencias,MAYO,ALÓ RENIEC,114,1.03 %
,Servicios en Línea,MAYO,ALÓ RENIEC,6,0.05 %
,Estado de Trámite,MAYO,ALÓ RENIEC,"2,495",22.50 %
,Otros,MAYO,ALÓ RENIEC,999,9.01 %
,DNI Mayor,MAYO,CORREO,648,10.57 %
,DNI Menor,MAYO,CORREO,97,1.58 %
,DNI Electrónico,MAYO,CORREO,247,4.03 %
,Certificaciones y Habilitaciones,MAYO,CORREO,167,2.72 %
,Registros Civiles,MAYO,CORREO,821,13.39 %
,Proceso Electoral,MAYO,CORREO,1,0.02 %
,Certificación Digital,MAYO,CORREO,5,0.08 %
,Archivo Registral,MAYO,CORREO,44,0.72 %
,Agencias/Horarios/Anexos,MAYO,CORREO,68,1.11 %
,Citas Especiales,MAYO,CORREO,481,7.85 %
,Incidencias/Sugerencias,MAYO,CORREO,362,5.91 %
,Servicios en Línea,MAYO,CORREO,20,0.33 %
,Estado de Trámite,MAYO,CORREO,"2,018",32.92 %
,Otros,MAYO,CORREO,"1,151",18.78 %
,DNI Mayor,MAYO,REDES,"1,007",16.07 %
,DNI Menor,MAYO,REDES,334,5.33 %
,DNI Electrónico,MAYO,REDES,847,13.52 %
,Certificaciones y Habilitaciones,MAYO,REDES,49,0.78 %
,Registros Civiles,MAYO,REDES,923,14.73 %
,Certificación Digital,MAYO,REDES,24,0.38 %
,Archivo Registral,MAYO,REDES,18,0.29 %
,Agencias/Horarios/Anexos,MAYO,REDES,698,11.14 %
,Citas Especiales,MAYO,REDES,37,0.59 %
,Incidencias/Sugerencias,MAYO,REDES,255,4.07 %
,Estado de Trámite,MAYO,REDES,962,15.35 %
,Otros,MAYO,REDES,"1,113",17.76 %
,DNI Mayor,MAYO,CHAT,190,6.12 %
,DNI Menor,MAYO,CHAT,31,1.00 %
,DNI Electrónico,MAYO,CHAT,113,3.64 %
,Certificaciones y Habilitaciones,MAYO,CHAT,60,1.93 %
,Registros Civiles,MAYO,CHAT,"1,748",56.28 %
,Certificación Digital,MAYO,CHAT,9,0.29 %
,Archivo Registral,MAYO,CHAT,9,0.29 %
,Agencias/Horarios/Anexos,MAYO,CHAT,19,0.61 %
,Citas Especiales,MAYO,CHAT,3,0.10 %
,Incidencias/Sugerencias,MAYO,CHAT,189,6.08 %
,Servicios en Línea,MAYO,CHAT,2,0.06 %
,Estado de Trámite,MAYO,CHAT,428,13.78 %
,Otros,MAYO,CHAT,305,9.82 %
,DNI /DNIe,MAYO,CENTRAL,405,4.32 %
,Certificaciones y Habilitaciones,MAYO,CENTRAL,7,0.07 %
,Registros Civiles,MAYO,CENTRAL,44,0.47 %
,Agencias/Horarios,MAYO,CENTRAL,163,1.74 %
,Estado de Trámite,MAYO,CENTRAL,523,5.58 %
,Otros,MAYO,CENTRAL,53,0.57 %
,Anexos,MAYO,CENTRAL,"8,175",87.25 %
,DNI Mayor,JUNIO,ALÓ RENIEC,"2,421",17.97 %
,DNI Menor,JUNIO,ALÓ RENIEC,515,3.82 %
,DNI Electrónico,JUNIO,ALÓ RENIEC,"1,802",13.38 %
,Certificaciones y Habilitaciones,JUNIO,ALÓ RENIEC,646,4.80 %
,Registros Civiles,JUNIO,ALÓ RENIEC,"2,844",21.11 %
,Proceso Electoral,JUNIO,ALÓ RENIEC,5,0.04 %
,Certificación Digital,JUNIO,ALÓ RENIEC,72,0.53 %
,Archivo Registral,JUNIO,ALÓ RENIEC,147,1.09 %
,Vínculo de Parentesco,JUNIO,ALÓ RENIEC,1,0.01 %
,Agencias/Horarios/Anexos,JUNIO,ALÓ RENIEC,623,4.62 %
,Citas Especiales,JUNIO,ALÓ RENIEC,44,0.33 %
,Incidencias/Sugerencias,JUNIO,ALÓ RENIEC,147,1.09 %
,Servicios en Línea,JUNIO,ALÓ RENIEC,22,0.16 %
,Estado de Trámite,JUNIO,ALÓ RENIEC,"2,853",21.18 %
,Otros,JUNIO,ALÓ RENIEC,"1,329",9.87 %
